No,Name,Team,Position,Age,Throws,Salary
761,Landon Harper,ATL,P,21,,140000
762,Jared Southard,LAA,P,21,,137500
763,Dylan Tebrake,NYM,P,22,,136425
764,Brody Jessee,CIN,P,21,,132500
765,Joe Adametz,DET,P,22,,130000
766,Javier Ramos,COL,P,22,,130000
767,Bryce Osmond,LAA,P,21,,129500
768,Shane Gray,NYY,P,22,,125000
769,James Acuna,ATL,RP,24,,125000
770,Sebastian Keane,NYY,P,21,,125000
771,Trevor Kirk,NYY,P,21,,125000
772,Indigo Diaz,ATL,P,23,,125000
773,Hayden Merda,NYY,P,22,,125000
774,C.J. Culpepper,MIN,P,20,,125000
775,Ben Ethridge,MIN,P,20,,125000
776,Bo Bonds,TOR,P,21,,125000
777,Zebby Matthews,MIN,P,22,,125000
778,Pat Gallagher,TOR,P,22,,125000
779,Gage Stanifer,TOR,P,18,,125000
780,Joseph King,STL,P,21,,125000
781,John Lynch,STL,P,21,,125000
782,Johnathan Harmon,CIN,P,21,,125000
783,Joseph Menefee,CIN,P,22,,125000
784,Max Gieg,LAA,P,21,,125000
785,Mason Pelio,CIN,P,21,,125000
786,Joe Miller,DET,P,22,,125000
787,Sammy Natera Jr.,LAA,P,22,,125000
788,Adam Serwinowski,CIN,P,18,,125000
789,Albert Oliva,DET,P,19,,125000
790,Julian Bosnic,PIT,P,22,,125000
791,Patrick Pridgen,DET,P,23,,125000
792,Cole Stupp,DET,P,21,,125000
793,Miguel Fulgencio,PIT,P,23,,125000
794,Dominic Perachi,PIT,P,21,,125000
795,Jimmy Loper,NYM,P,22,,125000
796,Dylan Ross,NYM,P,21,,125000
797,Chris Santiago,NYM,P,21,,125000
798,Porter Hodge,CHC,P,21,,125000
799,Shane Marshall,CHC,P,22,,125000
800,Brody McCullough,CHC,P,22,,125000
801,Eli Saul,ARI,P,20,,125000
802,Branden Noriega,CHC,P,20,,125000
803,Mathew Peters,CHC,P,21,,125000
804,JP Wheat,CHC,P,19,,125000
805,Darren Bowen,SEA,P,21,,125000
806,Tyler Cleveland,SEA,P,22,,125000
