No,Name,Team,Position,Age,Throws,Salary
237,Reyes Moronta,ARI,RP,29,R,1500000
238,Steven Brault,CHC,RP,30,L,1500000
239,Cole Phillips,ATL,P,19,,1497500
240,Caden Dana,LAA,P,18,,1497500
241,Ryan Brasier,BOS,RP,34,R,1400000
242,Tyler Matzek,ATL,RP,31,L,1400000
243,Tim Hill,SD,RP,32,L,1325000
244,Elieser Hernandez,MIA,RP,27,R,1325000
245,Caleb Thielbar,MIN,RP,35,L,1300000
246,Parker Messick,CLE,SP,21,,1300000
247,Robert Stephenson,PIT,RP,29,R,1280000
248,Luis Garcia,HOU,SP,25,R,1251500
249,Walter Ford,SEA,P,17,,1250000
250,Adam Mazur,SD,SP,21,,1250000
251,Kyle Crick,CHW,RP,29,R,1250000
252,Tim Mayza,TOR,RP,30,L,1250000
253,Lucas Sims,CIN,RP,28,R,1250000
254,Jacob Zibin,CLE,P,17,,1200000
255,Adam Maier,ATL,P,20,,1200000
256,Drew Thorpe,NYY,SP,21,,1187600
257,Joey Lucchesi,NYM,SP,29,L,1150000
258,Ashton Izzi,SEA,P,18,,1100000
259,Clay Holmes,NYY,RP/CL,29,R,1100000
260,Brycen Mautz,STL,SP,20,,1100000
261,Taylor Hearn,TEX,RP,27,L,1050000
262,Tanner Scott,MIA,RP,27,L,1050000
263,Brett Martin,TEX,RP,27,L,1025000
264,Casey Sadler,SEA,RP,31,R,1025000
265,Josh Taylor,BOS,RP,29,L,1025000
266,Tyler Kinley,COL,RP,31,R,1025000
267,Michael Kennedy,PIT,SP,17,,1000000
268,Darren O'Day,ATL,RP,39,R,1000000
269,Kirby Yates,ATL,RP,35,R,1000000
270,Trevor Richards,TOR,RP,29,R,1000000
271,Nazier Mule,CHC,RP,17,,1000000
272,Ben Joyce,LAA,RP,21,,1000000
273,Jake Madden,LAA,RP,20,,997500
274,Daniel Coulombe,MIN,RP,32,L,979500
275,Taylor Clarke,KC,RP,29,R,975000
276,Jeffrey Springs,TB,SP,29,L,947500
277,Andres Munoz,SEA,RP,23,R,937500
278,Jordan Hicks,STL,RP,25,R,937500
279,Jeff Hoffman,CIN,RP,29,R,925000
280,Austin Adams,SD,RP,31,R,925000
281,Jonathan Cannon,CHW,SP,21,,925000
282,Lucas Luetge,NYY,RP,35,L,905000
283,Victor Arano,WSH,RP,27,R,900000
284,Jason Adam,TB,RP,30,R,900000
285,Austin Voth,BAL,SP,30,R,875000
286,Tanner Rainey,WSH,RP,29,R,860000
287,Buck Farmer,CIN,RP,31,R,850000
288,Ryan Borucki,SEA,RP,28,L,850000
289,Nick Anderson,TB,RP,31,R,845000
290,John Brebbia,SF,RP,32,R,837500
291,Matt Bush,MIL,RP,36,R,825000
292,Deolis Guerra,OAK,RP,33,R,815000
293,Andrew Taylor,HOU,SP,20,,807200
294,Miguel Diaz,DET,RP,27,R,800000
295,Andrew Vasquez,SF,RP,28,L,800000
296,Josh James,HOU,RP,29,R,800000
297,Henry Williams,SD,SP,20,,800000
298,Keynan Middleton,ARI,RP,28,R,800000
299,Carson Palmquist,COL,RP,21,,775000
300,Jack Brannigan,PIT,3B,21,,770700
301,Peter Lambert,COL,SP,25,R,762500
302,Jalen Beeks,TB,RP,28,L,750000
303,Dylan Cease,CHW,SP,26,R,750000
304,Cesar Vargas,COL,P,0,,750000
305,Ty Blach,COL,RP,31,L,750000
306,Drew Smith,NYM,RP,28,R,750000
307,Cristian Javier,HOU,SP,25,R,749100
308,Jose Urquidy,HOU,SP,27,R,748700
309,Zac Gallen,ARI,SP,26,R,745600
310,Alec Mills,CHC,SP,30,R,741250
311,Codi Heuer,CHC,RP,25,R,734000
312,Ranger Suarez,PHI,SP,26,L,730000
313,Tyler Rogers,SF,RP,31,R,730000
314,Logan Webb,SF,SP,25,R,730000
315,Dustin May,LAD,SP,24,R,730000
316,Michael Kopech,CHW,SP,26,R,730000
317,Alek Manoah,TOR,SP,24,R,730000
318,Jaime Barria,LAA,RP,25,R,730000
319,Griffin Canning,LAA,SP,26,R,730000
320,Josh Staumont,KC,RP,28,R,728000
321,Nestor Cortes,NYY,SP,27,L,727500
322,Caleb Ferguson,LAD,RP,25,L,726500
323,Brady Singer,KC,SP,25,R,726250
324,Kyle Finnegan,WSH,RP/CL,30,R,725900
325,Seranthony Dominguez,PHI,RP,27,R,725000
326,Trevor Gott,MIL,RP,29,R,725000
327,JT Brubaker,PIT,SP,28,R,725000
328,Mitch Keller,PIT,SP,26,R,725000
329,Duane Underwood,PIT,RP,27,R,725000
330,Rowan Wick,CHC,RP,29,R,724000
331,Michael King,NYY,RP,27,R,722500
332,Ryan Helsley,STL,RP/CL,27,R,722450
333,Gregory Soto,DET,RP,27,L,722400
334,Trevor Rogers,MIA,SP,24,L,722000
335,Nabil Crismatt,SD,RP,27,R,721500
336,Cody Stashak,MIN,RP,28,R,720400
337,Jose Quijada,LAA,RP,26,L,720000
338,Patrick Sandoval,LAA,SP,25,L,720000
339,Jose Suarez,LAA,SP,24,L,720000
340,Tejay Antone,CIN,RP,28,R,720000
341,Justin Dunn,CIN,SP,26,R,720000
342,Jonathan Hernandez,TEX,RP,25,R,720000
343,Dennis Santana,TEX,RP,26,R,720000
344,Garrett Whitlock,BOS,RP,26,R,720000
345,Anthony Gonsolin,LAD,SP,28,R,720000
346,Victor Gonzalez,LAD,RP,26,L,720000
347,Brusdar Graterol,LAD,RP,23,R,720000
348,Evan Phillips,LAD,RP/CL,27,R,720000
349,Alex Vesia,LAD,RP,26,L,720000
350,Jose Ruiz,CHW,RP,27,R,720000
351,Kyle Wright,ATL,SP,26,R,720000
352,Huascar Ynoa,ATL,SP,24,R,720000
353,Jimmy Herget,LAA,RP,28,R,720000
354,Bryan Abreu,HOU,RP,25,R,719600
355,Adbert Alzolay,CHC,RP,27,R,718250
356,Jorge Alcala,MIN,RP,26,R,717900
357,Sean Reid-Foley,NYM,RP,26,R,717500
358,Sean Poppen,ARI,RP,28,R,717400
359,Brad Wieck,CHC,RP,30,L,717000
360,Joe Mantiply,ARI,RP,31,L,717000
361,Tyler Alexander,DET,SP,27,L,716900
362,Aaron Civale,CLE,SP,27,R,716900
363,Paolo Espino,WSH,SP,35,R,716200
364,Tanner Houck,BOS,RP,26,R,716000
365,Connor Brogdon,PHI,RP,27,R,715000
366,Jesus Luzardo,MIA,SP,24,L,715000
367,Garrett Crochet,CHW,RP,23,L,715000
368,David Bednar,PIT,RP/CL,27,R,715000
369,Blake Cederlind,PIT,RP,26,R,715000
370,Wil Crowe,PIT,RP,27,R,715000
371,Bryse Wilson,PIT,SP,24,R,715000
372,Anthony Misiewicz,KC,RP,27,L,714900
373,James Karinchak,CLE,RP,26,R,714500
374,Devin Williams,MIL,RP/CL,27,R,714500
375,Pete Fairbanks,TB,RP/CL,28,R,714400
376,Jake Woodford,STL,RP,25,R,714350
377,Casey Mize,DET,SP,25,R,714200
378,Brock Burke,TEX,RP,25,L,714000
379,Dane Dunning,TEX,SP,27,R,714000
380,John King,TEX,RP,27,L,714000
381,Josh Sborz,TEX,RP,28,R,714000
382,Kris Bubic,KC,SP,24,L,713750
383,Humberto Castellanos,ARI,SP,24,R,713700
384,Tarik Skubal,DET,SP,25,L,713600
385,Anthony Bender,MIA,RP,27,R,713000
386,Clarke Schmidt,NYY,RP,26,R,712500
387,Logan Gilbert,SEA,SP,25,R,712300
388,Drew Rasmussen,TB,SP,26,R,711800
389,Erik Swanson,SEA,RP,28,R,711600
390,Dillon Tate,BAL,RP,28,R,711500
391,Shane McClanahan,TB,SP,25,L,711400
392,Yohan Ramirez,PIT,RP,27,R,711400
393,Jake Brentz,KC,RP,27,L,711250
394,J.T. Chargois,TB,RP,31,R,710500
395,Tyler Zuber,KC,RP,27,R,710500
396,Jordan Romano,TOR,RP/CL,29,R,710400
397,Kyle Funkhouser,DET,RP,28,R,710200
398,Tucker Davidson,LAA,SP,26,L,710000
399,Reid Detmers,LAA,SP,22,L,710000
400,Chris Rodriguez,LAA,SP,23,R,710000
401,Paul Blackburn,OAK,SP,28,R,710000
402,Garrett Cleavinger,TB,RP,28,L,710000
403,Austin Gomber,COL,RP,28,L,710000
404,Spencer Strider,ATL,SP,23,R,710000
405,Keegan Akin,BAL,RP,27,L,709500
406,Steven Okert,MIA,RP,30,L,709000
407,Joel Payamps,OAK,RP,28,R,708750
408,Carlos Hernandez,KC,RP,25,R,708750
409,J.P. Feyereisen,TB,RP,29,R,708600
410,Andres Machado,WSH,RP,29,R,708200
411,Vladimir Gutierrez,CIN,SP,26,R,707500
412,Albert Abreu,NYY,RP,26,R,707500
413,Tylor Megill,NYM,RP,26,R,707500
414,Tayler Saucedo,TOR,RP,29,L,707500
415,Josh Fleming,TB,RP,26,L,707400
416,Triston McKenzie,CLE,SP,24,R,707100
417,Jake Cousins,MIL,RP,27,R,706400
418,Bailey Ober,MIN,SP,26,R,706200
419,Trent Thornton,TOR,RP,28,R,706200
420,Keegan Thompson,CHC,SP,27,R,706000
421,Dean Kremer,BAL,SP,26,R,705500
422,Matt Manning,DET,SP,24,R,705300
423,Hoby Milner,MIL,RP,31,L,705100
424,Justin Steele,CHC,SP,26,L,705000
425,Cole Irvin,OAK,SP,28,L,705000
426,James Kaprielian,OAK,SP,28,R,705000
427,A.J. Puk,OAK,RP/CL,27,L,705000
428,Cionel Perez,BAL,RP,26,L,705000
429,Daniel Castano,MIA,SP,27,L,705000
430,Max Kranick,PIT,SP,24,R,705000
431,Nick Mears,PIT,RP,25,R,705000
432,Zach Thompson,PIT,RP,28,R,705000
433,Miguel Yajure,PIT,RP,24,R,705000
434,Javier Guerra,TB,RP,26,R,704900
435,Rony Garcia,DET,SP,24,R,704800
436,Aaron Ashby,MIL,SP,24,L,704500
437,Tyler Wells,BAL,SP,27,R,704500
438,Adrian Morejon,SD,RP,23,L,704500
439,Joe Barlow,TEX,RP,26,R,704000
440,Cody Poteet,MIA,RP,27,R,704000
441,Camilo Doval,SF,RP/CL,24,R,703750
442,Sam Long,SF,RP,26,L,703750
443,Alex Lange,DET,RP/CL,26,R,703700
444,Daniel Lynch,KC,SP,25,L,703600
445,Josiah Gray,WSH,SP,24,R,703500
446,Trevor Stephan,CLE,RP,26,R,703400
447,Bailey Falter,PHI,SP,25,L,703000
448,Sean Guenther,MIA,RP,26,L,703000
449,Anthony Gose,CLE,RP,31,L,702900
450,Tony Santillan,CIN,RP,25,R,702500
451,Art Warren,CIN,RP,29,R,702500
452,Michael Rucker,CHC,RP,28,R,702500
453,Sam Hentges,CLE,RP,25,L,702500
454,Stephen Ridings,NYY,RP,26,R,702500
455,Justin Topa,MIL,RP,31,R,702200
456,Mason Thompson,WSH,RP,24,R,702200
457,Eli Morgan,CLE,RP,26,R,702100
458,Kent Emanuel,PHI,RP,30,L,702000
459,Kutter Crawford,BOS,SP,26,R,702000
460,Lucas Gilbreath,COL,RP,26,L,702000
461,Nick Sandlin,CLE,RP,25,R,701700
462,Joe Ryan,MIN,SP,26,R,701650
463,Scott Effross,NYY,RP,28,R,701500
464,Jason Foley,DET,RP,26,R,701400
465,Brendan McKay,TB,SP,26,L,701200
466,Shane Baz,TB,SP,23,R,701100
467,Mike Baumann,BAL,RP,26,R,701000
468,Dylan Coleman,KC,RP,25,R,700650
469,Bryan Baker,BAL,RP,27,R,700500
470,Jhon Romero,MIN,RP,27,R,700400
471,Matt Brash,SEA,RP,24,R,700100
472,Andre Pallante,STL,RP,23,,700000
473,Tommy Hunter,NYM,RP,35,R,700000
474,Colin Holderman,PIT,RP,26,,700000
475,Nate Savino,ARI,SP,20,,700000
476,Zack Thompson,STL,RP,24,L,700000
477,Johan Oviedo,PIT,SP,24,R,700000
478,Jhonathan Diaz,LAA,SP,25,L,700000
479,Tyler Gilbert,ARI,SP,28,L,700000
480,Chase Anderson,CIN,SP,34,R,700000
481,Kevin Ginkel,ARI,RP,28,R,700000
482,Graham Ashcraft,CIN,SP,24,,700000
483,Fernando Cruz,CIN,RP,32,,700000
484,Alexis Diaz,CIN,RP/CL,25,R,700000
485,Eric Stout,PIT,RP,29,,700000
486,Tommy Henry,ARI,SP,24,L,700000
487,Bryce Montes de Oca,NYM,RP,26,,700000
488,Javier Assad,CHC,SP,24,,700000
489,Beau Brieske,DET,SP,24,,700000
490,Ian Gibaut,CIN,RP,28,R,700000
491,Hunter Greene,CIN,SP,22,R,700000
492,Joel Kuhnel,CIN,RP,27,R,700000
493,Drey Jameson,ARI,SP,24,R,700000
494,Derek Law,CIN,RP,31,R,700000
495,Nick Lodolo,CIN,SP,24,,700000
496,David Peterson,NYM,RP,26,L,700000
497,Angel De Jesus,DET,RP,25,R,700000
498,Mark Appel,PHI,RP,30,,700000
499,Kyle Nelson,ARI,RP,25,L,700000
500,Connor Overton,CIN,RP,28,R,700000
501,Bryan Garcia,DET,RP,27,R,700000
502,Andrew Bellatti,PHI,RP,30,R,700000
503,Ryne Nelson,ARI,SP,24,R,700000
504,Brandon Hughes,CHC,RP,26,,700000
505,Nash Walters,LAA,SP,25,,700000
506,Garrett Hill,DET,SP,26,,700000
507,Andrew Wantz,LAA,RP,26,R,700000
508,Hans Crouse,PHI,SP,23,R,700000
509,Zack Weiss,LAA,RP,30,R,700000
510,Reiver Sanmartin,CIN,RP,26,L,700000
511,Mark Leiter Jr.,CHC,RP/CL,31,R,700000
512,Daniel Norris,DET,RP,29,L,700000
513,Rob Zastryzny,LAA,RP,30,L,700000
514,Taylor Widener,ARI,RP,27,R,700000
515,Will Vest,DET,RP,27,R,700000
516,Damon Jones,PHI,RP,27,L,700000
517,Ethan Roberts,CHC,RP,24,R,700000
518,Manuel Rodriguez,CHC,RP,25,R,700000
519,Adrian Sampson,CHC,SP,30,R,700000
520,James McArthur,PHI,SP,25,R,700000
521,Erich Uelmen,CHC,RP,26,,700000
522,A.J. Alexy,TEX,RP,24,R,700000
523,Hayden Wesneski,CHC,SP,24,,700000
524,Matt Festa,SEA,RP,29,R,700000
525,Glenn Otto,TEX,SP,26,R,700000
526,George Kirby,SEA,SP,24,R,700000
527,Cole Ragans,TEX,SP,24,,700000
528,Domingo Acevedo,OAK,RP,28,R,700000
529,Penn Murfee,SEA,RP,28,,700000
530,Yerry Rodriguez,TEX,SP,24,R,700000
531,Brayan Bello,BOS,SP,23,R,700000
532,Jesus Tinoco,TEX,RP,27,R,700000
533,Tyler Cyr,OAK,RP,29,R,700000
534,Frank German,BOS,RP,24,,700000
535,Darwinzon Hernandez,BOS,RP,25,L,700000
536,Zach Jackson,OAK,RP,27,,700000
537,Daulton Jefferies,OAK,SP,26,R,700000
538,Zack Kelly,BOS,RP,27,,700000
539,Dany Jimenez,OAK,RP,28,R,700000
540,Yency Almonte,LAD,RP,28,R,700000
541,Jared Koenig,OAK,RP,28,,700000
542,Enyel De Los Santos,CLE,RP,26,R,700000
543,Hunter Brown,HOU,RP,23,,700000
544,Phil Bickford,LAD,RP,26,R,700000
545,Kaleb Ort,BOS,RP,30,,700000
546,John Schreiber,BOS,RP,28,R,700000
547,Michael Grove,LAD,SP,25,,700000
548,Scott Alexander,SF,RP,32,L,700000
549,Jimmy Nelson,LAD,RP,33,R,700000
550,Jharel Cotton,SF,SP,30,R,700000
551,Kirk McCarty,CLE,RP,26,,700000
552,Cody Morris,CLE,SP,25,R,700000
553,Sam Delaplane,SF,RP,27,R,700000
554,Jason Alexander,MIL,RP,29,,700000
555,Adrian Martinez,OAK,SP,25,R,700000
556,Sean Hjelle,SF,RP,25,R,700000
557,Sam Moll,OAK,RP,30,L,700000
558,Cory Abbott,WSH,SP,26,R,700000
559,Mauricio Llovera,SF,RP,26,R,700000
560,Jandel Gustave,MIL,RP,29,R,700000
561,Adam Oller,OAK,SP,27,R,700000
562,Austin Pruitt,OAK,RP,32,R,700000
563,Yunior Marte,SF,RP,27,R,700000
564,Norge Ruiz,OAK,RP,28,,700000
565,JP Sears,OAK,SP,26,L,700000
566,Shelby Miller,SF,SP,31,R,700000
567,Cade Cavalli,WSH,SP,23,R,700000
568,Sam Selman,OAK,RP,31,L,700000
569,Luis Ortiz,SF,SP,26,R,700000
570,C.J. Edwards,WSH,RP,30,R,700000
571,Jhoan Duran,MIN,RP/CL,24,R,700000
572,Kirby Snead,OAK,RP,27,L,700000
573,Gregory Santos,SF,RP,22,R,700000
574,Shawn Armstrong,TB,RP,31,R,700000
575,MacKenzie Gore,WSH,RP,23,L,700000
576,Felix Bautista,BAL,RP/CL,27,R,700000
577,Luis Perdomo,MIL,RP,29,R,700000
578,Thomas Szapucki,SF,RP,26,L,700000
579,Hunter Harvey,WSH,RP,27,R,700000
580,Kyle Bradish,BAL,SP,25,R,700000
581,Ken Waldichuk,OAK,SP,24,,700000
582,Evan Lee,WSH,RP,25,L,700000
583,Collin Wiles,OAK,RP,28,,700000
584,Yennier Cano,BAL,RP,28,,700000
585,Griffin Jax,MIN,RP,27,R,700000
586,Cole Waites,SF,RP,24,,700000
587,Chris Ellis,BAL,SP,29,R,700000
588,Miguel Sanchez,MIL,RP,28,R,700000
589,Logan Gillaspie,BAL,RP,25,R,700000
590,Erasmo Ramirez,WSH,RP,32,R,700000
591,D.L. Hall,BAL,RP,23,L,700000
592,Peter Strzelecki,MIL,RP,27,,700000
593,Alex Young,SF,RP,28,L,700000
594,Jackson Tetreault,WSH,SP,26,,700000
595,Trevor Megill,MIN,RP,28,R,700000
596,Jordan Weems,WSH,RP,29,R,700000
597,Jovani Moran,MIN,RP,25,L,700000
598,Maximo Castillo,KC,RP,23,,700000
599,Colin Poche,TB,RP,28,L,700000
600,Jon Heasley,KC,SP,25,R,700000
601,Aaron Sanchez,MIN,RP,29,R,700000
602,Ryan Thompson,TB,RP,30,R,700000
603,Jimmy Yacabonis,TB,RP,30,R,700000
604,Jake Eder,MIA,P,23,,700000
605,Cole Sands,MIN,RP,24,R,700000
606,Huascar Brazoban,MIA,RP,32,,700000
607,Jeff Brigham,MIA,RP,30,R,700000
608,Collin Snider,KC,RP,26,R,700000
609,Spenser Watkins,BAL,SP,29,R,700000
610,Edward Cabrera,MIA,SP,24,R,700000
611,Paul Campbell,MIA,RP,26,R,700000
612,Angel Zerpa,KC,SP,22,L,700000
613,Jake Fishman,MIA,RP,27,,700000
614,Louie Varland,MIN,P,24,,700000
615,Jimmy Lambert,CHW,RP,27,R,700000
616,Braxton Garrett,MIA,SP,24,L,700000
617,Davis Martin,CHW,SP,25,,700000
618,Jake Bird,COL,RP,26,,700000
619,Steven Wilson,SD,RP,27,R,700000
620,Silvino Bracho,ATL,RP,29,R,700000
